model,control,r1,c1,r2,c2,r3,c3
00,0000,1,<=12,0,<=12,0,<=12
01,0001,1,<=12,1,<=12,1,<=12
02,0110,1,<=12,1,<=12,1,<=12
03,1110,1,<=12,1,<=12,1,<=12
04,1010,1,<=12,1,<=12,1,<=12
05,1000,1,<=12,0,<=12,0,<=12
06,0220,1,<=12,1,<=12,1,<=12
07,0100,1,<=12,1,<=12,0,<=12
08,2210,1,<=12,1,<=12,0,<=12
09,2200,1,<=12,0,<=12,0,<=12
10,1220,1,<=12,1,<=12,0,<=12
11,1100,1,<=12,1,<=12,0,<=12
12,1000,1,==13,0,==0,0,==0
18,1100,1,==5,1,==7,0,<=8
19,1100,1,==8,1,==5,0,<=12
21,1000,1,==8,1,<=12,0,==0
28,1100,1,==5,1,==7,0,<=8
31,1000,1,==8,1,<=12,0,==0
38,1100,1,<=12,1,<=12,0,<=12
40,1100,1,<=12,1,<=12,0,<=12
41,1100,1,<=12,1,<=12,0,<=12
48,1100,1,<=12,1,<=12,0,<=12
49,1100,1,<=12,1,<=12,0,<=12
51,1100,1,<=12,1,<=12,0,<=12
55,1000,1,<=12,0,<=12,0,<=12
58,1100,1,<=12,1,<=12,0,<=12